Loading model: tiny_vit_5m_224
Total model parameters: 5,392,764


── Detailed Layer Profiling ──

| Layer Name                              | Type                      | Weight Shape   | M×N      |   Params | Tag     | Arrays(diff)   |
| stages.3.blocks.0.mlp.fc1               | Linear                    | 1280×320       | 1280×320 |  410,880 | analog  | 60             |
| stages.3.blocks.0.mlp.fc2               | Linear                    | 320×1280       | 320×1280 |  409,920 | analog  | 60             |
| stages.3.blocks.0.local_conv.conv       | DWConv2d(g=320,k=(3, 3))  | 320×1×3×3      | 320×9    |    2,880 | digital | —              |
| stages.3.blocks.1.attn.qkv              | Linear                    | 960×320        | 960×320  |  308,160 | analog  | 48             |
| stages.3.blocks.1.attn.proj             | Linear                    | 320×320        | 320×320  |  102,720 | analog  | 18             |
| stages.3.blocks.1.mlp.fc1               | Linear                    | 1280×320       | 1280×320 |  410,880 | analog  | 60             |
| stages.3.blocks.1.mlp.fc2               | Linear                    | 320×1280       | 320×1280 |  409,920 | analog  | 60             |
| stages.3.blocks.1.local_conv.conv       | DWConv2d(g=320,k=(3, 3))  | 320×1×3×3      | 320×9    |    2,880 | digital | —              |
| head.fc                                 | Linear                    | 1000×320       | 1000×320 |  321,000 | digital | —              |
| patch_embed.conv1.bn.weight             | Parameter                 | 32             | —        |       32 | digital | —              |
| patch_embed.conv1.bn.bias               | Parameter                 | 32             | —        |       32 | digital | —              |
| patch_embed.conv2.bn.weight             | Parameter                 | 64             | —        |       64 | digital | —              |
| patch_embed.conv2.bn.bias               | Parameter                 | 64             | —        |       64 | digital | —              |
| stages.0.blocks.0.conv1.bn.weight       | Parameter                 | 256            | —        |      256 | digital | —              |
| stages.0.blocks.0.conv1.bn.bias         | Parameter                 | 256            | —        |      256 | digital | —              |
| stages.0.blocks.0.conv2.bn.weight       | Parameter                 | 256            | —        |      256 | digital | —              |
| stages.0.blocks.0.conv2.bn.bias         | Parameter                 | 256            | —        |      256 | digital | —              |
| stages.0.blocks.0.conv3.bn.weight       | Parameter                 | 64             | —        |       64 | digital | —              |
| stages.0.blocks.0.conv3.bn.bias         | Parameter                 | 64             | —        |       64 | digital | —              |
| stages.0.blocks.1.conv1.bn.weight       | Parameter                 | 256            | —        |      256 | digital | —              |
| stages.0.blocks.1.conv1.bn.bias         | Parameter                 | 256            | —        |      256 | digital | —              |
| stages.0.blocks.1.conv2.bn.weight       | Parameter                 | 256            | —        |      256 | digital | —              |
| stages.0.blocks.1.conv2.bn.bias         | Parameter                 | 256            | —        |      256 | digital | —              |
| stages.0.blocks.1.conv3.bn.weight       | Parameter                 | 64             | —        |       64 | digital | —              |
| stages.0.blocks.1.conv3.bn.bias         | Parameter                 | 64             | —        |       64 | digital | —              |
| stages.1.downsample.conv1.bn.weight     | Parameter                 | 128            | —        |      128 | digital | —              |
| stages.1.downsample.conv1.bn.bias       | Parameter                 | 128            | —        |      128 | digital | —              |
| stages.1.downsample.conv2.bn.weight     | Parameter                 | 128            | —        |      128 | digital | —              |
| stages.1.downsample.conv2.bn.bias       | Parameter                 | 128            | —        |      128 | digital | —              |
| stages.1.downsample.conv3.bn.weight     | Parameter                 | 128            | —        |      128 | digital | —              |
| stages.1.downsample.conv3.bn.bias       | Parameter                 | 128            | —        |      128 | digital | —              |
| stages.1.blocks.0.attn.attention_biases | Parameter                 | 4×49           | —        |      196 | digital | —              |
| stages.1.blocks.0.attn.norm.weight      | Parameter                 | 128            | —        |      128 | digital | —              |
| stages.1.blocks.0.attn.norm.bias        | Parameter                 | 128            | —        |      128 | digital | —              |
| stages.1.blocks.0.mlp.norm.weight       | Parameter                 | 128            | —        |      128 | digital | —              |
| stages.1.blocks.0.mlp.norm.bias         | Parameter                 | 128            | —        |      128 | digital | —              |
| stages.1.blocks.0.local_conv.bn.weight  | Parameter                 | 128            | —        |      128 | digital | —              |
| stages.1.blocks.0.local_conv.bn.bias    | Parameter                 | 128            | —        |      128 | digital | —              |
| stages.1.blocks.1.attn.attention_biases | Parameter                 | 4×49           | —        |      196 | digital | —              |
| stages.1.blocks.1.attn.norm.weight      | Parameter                 | 128            | —        |      128 | digital | —              |
| stages.1.blocks.1.attn.norm.bias        | Parameter                 | 128            | —        |      128 | digital | —              |
| stages.1.blocks.1.mlp.norm.weight       | Parameter                 | 128            | —        |      128 | digital | —              |
| stages.1.blocks.1.mlp.norm.bias         | Parameter                 | 128            | —        |      128 | digital | —              |
| stages.1.blocks.1.local_conv.bn.weight  | Parameter                 | 128            | —        |      128 | digital | —              |
| stages.1.blocks.1.local_conv.bn.bias    | Parameter                 | 128            | —        |      128 | digital | —              |
| stages.2.downsample.conv1.bn.weight     | Parameter                 | 160            | —        |      160 | digital | —              |
| stages.2.downsample.conv1.bn.bias       | Parameter                 | 160            | —        |      160 | digital | —              |
| stages.2.downsample.conv2.bn.weight     | Parameter                 | 160            | —        |      160 | digital | —              |
| stages.2.downsample.conv2.bn.bias       | Parameter                 | 160            | —        |      160 | digital | —              |
| stages.2.downsample.conv3.bn.weight     | Parameter                 | 160            | —        |      160 | digital | —              |
| stages.2.downsample.conv3.bn.bias       | Parameter                 | 160            | —        |      160 | digital | —              |
| stages.2.blocks.0.attn.attention_biases | Parameter                 | 5×196          | —        |      980 | digital | —              |
| stages.2.blocks.0.attn.norm.weight      | Parameter                 | 160            | —        |      160 | digital | —              |
| stages.2.blocks.0.attn.norm.bias        | Parameter                 | 160            | —        |      160 | digital | —              |
| stages.2.blocks.0.mlp.norm.weight       | Parameter                 | 160            | —        |      160 | digital | —              |
| stages.2.blocks.0.mlp.norm.bias         | Parameter                 | 160            | —        |      160 | digital | —              |
| stages.2.blocks.0.local_conv.bn.weight  | Parameter                 | 160            | —        |      160 | digital | —              |
| stages.2.blocks.0.local_conv.bn.bias    | Parameter                 | 160            | —        |      160 | digital | —              |
| stages.2.blocks.1.attn.attention_biases | Parameter                 | 5×196          | —        |      980 | digital | —              |
| stages.2.blocks.1.attn.norm.weight      | Parameter                 | 160            | —        |      160 | digital | —              |
| stages.2.blocks.1.attn.norm.bias        | Parameter                 | 160            | —        |      160 | digital | —              |
| stages.2.blocks.1.mlp.norm.weight       | Parameter                 | 160            | —        |      160 | digital | —              |
| stages.2.blocks.1.mlp.norm.bias         | Parameter                 | 160            | —        |      160 | digital | —              |
| stages.2.blocks.1.local_conv.bn.weight  | Parameter                 | 160            | —        |      160 | digital | —              |
| stages.2.blocks.1.local_conv.bn.bias    | Parameter                 | 160            | —        |      160 | digital | —              |
| stages.2.blocks.2.attn.attention_biases | Parameter                 | 5×196          | —        |      980 | digital | —              |
| stages.2.blocks.2.attn.norm.weight      | Parameter                 | 160            | —        |      160 | digital | —              |
| stages.2.blocks.2.attn.norm.bias        | Parameter                 | 160            | —        |      160 | digital | —              |
| stages.2.blocks.2.mlp.norm.weight       | Parameter                 | 160            | —        |      160 | digital | —              |
| stages.2.blocks.2.mlp.norm.bias         | Parameter                 | 160            | —        |      160 | digital | —              |
| stages.2.blocks.2.local_conv.bn.weight  | Parameter                 | 160            | —        |      160 | digital | —              |
| stages.2.blocks.2.local_conv.bn.bias    | Parameter                 | 160            | —        |      160 | digital | —              |
| stages.2.blocks.3.attn.attention_biases | Parameter                 | 5×196          | —        |      980 | digital | —              |
| stages.2.blocks.3.attn.norm.weight      | Parameter                 | 160            | —        |      160 | digital | —              |
| stages.2.blocks.3.attn.norm.bias        | Parameter                 | 160            | —        |      160 | digital | —              |
| stages.2.blocks.3.mlp.norm.weight       | Parameter                 | 160            | —        |      160 | digital | —              |
| stages.2.blocks.3.mlp.norm.bias         | Parameter                 | 160            | —        |      160 | digital | —              |
| stages.2.blocks.3.local_conv.bn.weight  | Parameter                 | 160            | —        |      160 | digital | —              |
