file,device,measurement,type,C1_n,C1_peak_nA,C1_mean_nA,C1_baseline_nA,C1_amp_nA,C1_t_peak_s,C1_half_width_s,C2_n,C2_mean_nA,C2_std_nA,C3_n,C3_valid,C3_mean_nA,C3_std_nA,C1_baseline_nA_codex,C1_peak_nA_codex,C1_amp_nA_codex,C1_t_peak_s_codex,C1_rise_10_90_s,C1_tau_1e_decay_s,C1_decay_1e_resolved,C1_half_width_s_codex,C1_charge_nC
3-1-EPSC-365 nm-200 300 ms-64ci-4.csv,1,4,wafer,2000,-28.8473,-19.46688,-0.022402,-28.824898,34.751963,37.909155,2000,-21.79738385,1.2348311263445997,581,True,-19.53477831325301,0.2224828949130115,-0.022402000000000005,-28.8473,28.824898,34.751963,23.51918520831922,,False,,964.8095448666901
3-1-EPSC-365 nm-200 300 ms-64ci-5.csv,1,5,wafer,2000,-30.722500000000004,-20.4752718,-0.065035,-30.657465,35.348903,36.829194,2000,-22.95889785,1.3757900881070646,566,True,-20.46589575971732,0.2317237080381374,-0.065035,-30.722500000000004,30.657465000000002,35.348903,22.816738704360013,,False,,1013.4113384584249
3-2-EPSC-365 nm-200 300 ms-64ci-1.csv,2,1,wafer,2000,-26.5863,-17.022613950000004,-0.066583,-26.519717,35.518893,35.559548,2000,-19.14573125,1.4224283563269116,2000,True,-15.715603000000002,0.7352618848210721,-0.066583,-26.5863,26.519717,35.518893,23.812113778330392,,False,,834.3298818072165
3-2-EPSC-365 nm-200 300 ms-64ci-2.csv,2,2,wafer,2000,-27.1595,-16.39344315,-0.116398,-27.043102,36.011144,33.13066,2000,-19.73556485,1.3597171325609485,523,True,-17.28004760994264,0.2216656331516499,-0.11639800000000002,-27.159499999999998,27.043101999999998,36.011144,26.1265059641985,,False,,803.649740711073
3-2-EPSC-365 nm-200 300 ms-64ci-3.csv,2,3,wafer,2000,-30.1249,-19.62273355,-0.062763,-30.062137,34.543235,36.678604,2000,-21.779248050000003,1.4418032173445063,549,True,-19.1497174863388,0.2478673293888114,-0.062763,-30.1249,30.062137,34.543235,24.85171869772706,,False,,966.8777454387805
3-2-EPSC-365 nm-200 300 ms-64ci-4.csv,2,4,wafer,2000,-31.3685,-22.9075345,-0.357171,-31.011329,34.203608,40.432078,2000,-22.988401000000003,1.4895229690765777,602,True,-20.19944833887044,0.2789689669682738,-0.357171,-31.3685,31.011329,34.203608,22.004848803328596,,False,,1117.52286114594
3-2-EPSC-365 nm-200 300 ms-64ci-5.csv,2,5,wafer,2000,-31.873000000000005,-22.72704585,-0.113293,-31.75970700000001,35.375918,39.863497,2000,-23.5112563,1.558071103362063,975,True,-20.379600820512824,0.4324441508840454,-0.113293,-31.873000000000005,31.759707000000006,35.375918,21.992065464897394,,False,,1123.9227768966352
3-3-EPSC-365 nm-200 300 ms-64ci-1.csv,3,1,wafer,2000,-24.4801,-16.04936325,-0.048537,-24.431563,35.580081,36.899498,2000,-17.09643095,1.5718463696150249,2000,True,-13.089304650000004,0.8655502802016507,-0.048537,-24.4801,24.431563,35.580081,23.291826693560676,,False,,792.589097416839
3-3-EPSC-365 nm-200 300 ms-64ci-2.csv,3,2,wafer,2000,-24.4543,-15.2709359,-0.06291,-24.39139,35.942521,34.178535000000004,2000,-18.1021564,1.4125619843138937,547,True,-15.465256489945151,0.2509012608951826,-0.06291,-24.4543,24.39139,35.942521,26.05735647887569,,False,,755.2734022026551
3-3-EPSC-365 nm-200 300 ms-64ci-3.csv,3,3,wafer,2000,-27.0562,-18.817644800000004,-0.2859339999999999,-26.770266,35.457626999999995,38.086411,2000,-20.6803076,1.466813499523178,547,True,-17.91416361974406,0.2643691570887958,-0.28593399999999997,-27.0562,26.770266,35.457626999999995,23.514198038847947,,False,,922.469374112678
