layer_id	module_path	layer_type	role	stage	shape	effective_m	effective_n	row_tiles_128	col_tiles_128	diff_pair_arrays_128	parameter_count	current_mapping	candidate_precision	n_states	sigma_d2d	sigma_c2c	notes
32	stages.2.blocks.5.mlp.fc1	AnalogLinear	mlp_fc1	stage_2	640x160	640	160	5	2	20	103040	analog_4bit_pcm_candidate	rank_pending_probe_required	16	0.1	0.05	V4 hybrid model instantiated without checkpoint load; inventory only
33	stages.2.blocks.5.mlp.fc2	AnalogLinear	mlp_fc2	stage_2	160x640	160	640	2	5	20	102560	analog_4bit_pcm_candidate	rank_pending_probe_required	16	0.1	0.05	V4 hybrid model instantiated without checkpoint load; inventory only
34	stages.3.blocks.0.attn.qkv	AnalogLinear	attention_qkv	stage_3	960x320	960	320	8	3	48	308160	analog_4bit_pcm_candidate	rank_pending_probe_required	16	0.1	0.05	V4 hybrid model instantiated without checkpoint load; inventory only
35	stages.3.blocks.0.attn.proj	AnalogLinear	attention_proj	stage_3	320x320	320	320	3	3	18	102720	analog_4bit_pcm_candidate	rank_pending_probe_required	16	0.1	0.05	V4 hybrid model instantiated without checkpoint load; inventory only
36	stages.3.blocks.0.mlp.fc1	AnalogLinear	mlp_fc1	stage_3	1280x320	1280	320	10	3	60	410880	analog_4bit_pcm_candidate	rank_pending_probe_required	16	0.1	0.05	V4 hybrid model instantiated without checkpoint load; inventory only
37	stages.3.blocks.0.mlp.fc2	AnalogLinear	mlp_fc2	stage_3	320x1280	320	1280	3	10	60	409920	analog_4bit_pcm_candidate	rank_pending_probe_required	16	0.1	0.05	V4 hybrid model instantiated without checkpoint load; inventory only
38	stages.3.blocks.1.attn.qkv	AnalogLinear	attention_qkv	stage_3	960x320	960	320	8	3	48	308160	analog_4bit_pcm_candidate	rank_pending_probe_required	16	0.1	0.05	V4 hybrid model instantiated without checkpoint load; inventory only
39	stages.3.blocks.1.attn.proj	AnalogLinear	attention_proj	stage_3	320x320	320	320	3	3	18	102720	analog_4bit_pcm_candidate	rank_pending_probe_required	16	0.1	0.05	V4 hybrid model instantiated without checkpoint load; inventory only
40	stages.3.blocks.1.mlp.fc1	AnalogLinear	mlp_fc1	stage_3	1280x320	1280	320	10	3	60	410880	analog_4bit_pcm_candidate	rank_pending_probe_required	16	0.1	0.05	V4 hybrid model instantiated without checkpoint load; inventory only
41	stages.3.blocks.1.mlp.fc2	AnalogLinear	mlp_fc2	stage_3	320x1280	320	1280	3	10	60	409920	analog_4bit_pcm_candidate	rank_pending_probe_required	16	0.1	0.05	V4 hybrid model instantiated without checkpoint load; inventory only
