rank	layer_id	module_path	role	stage	layer_type	drift_effective_l2	drift_effective_linf	drift_abs_to_weight_abs_corr	retention_time_s	reference_mean_acc_drop	reference_std_acc_drop	source	evidence_grade
11	16	stages.2.blocks.1.mlp.fc1	mlp_fc1	stage_2	AnalogLinear	239.105530	3.600000	0.988495	1000.0	0.2604166666666667	0.40657539052072905	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
12	32	stages.2.blocks.5.mlp.fc1	mlp_fc1	stage_2	AnalogLinear	237.687744	3.600000	0.988313	1000.0	0.0	0.1953125	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
13	20	stages.2.blocks.2.mlp.fc1	mlp_fc1	stage_2	AnalogLinear	237.490768	3.600000	0.988229	1000.0	1.1067708333333333	0.8807128423482216	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
14	39	stages.3.blocks.1.attn.proj	attention_proj	stage_3	AnalogLinear	237.407562	3.600000	0.987966	1000.0	0.13020833333333334	0.4915256793796061	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
15	33	stages.2.blocks.5.mlp.fc2	mlp_fc2	stage_2	AnalogLinear	236.993179	3.600000	0.988122	1000.0	9.114583333333334	5.041686170976392	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
16	13	stages.2.blocks.0.mlp.fc2	mlp_fc2	stage_2	AnalogLinear	227.397949	3.600000	0.987421	1000.0	1.0416666666666667	0.40657539052072905	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
17	21	stages.2.blocks.2.mlp.fc2	mlp_fc2	stage_2	AnalogLinear	223.492859	3.600000	0.986824	1000.0	3.125	0.5167483029423029	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
18	28	stages.2.blocks.4.mlp.fc1	mlp_fc1	stage_2	AnalogLinear	218.884613	3.600000	0.986174	1000.0	7.942708333333333	1.3294647042097745	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
19	22	stages.2.blocks.3.attn.qkv	attention_qkv	stage_2	AnalogLinear	216.483200	3.600000	0.989763	1000.0	0.6510416666666666	0.22552744890219756	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
20	30	stages.2.blocks.5.attn.qkv	attention_qkv	stage_2	AnalogLinear	216.355179	3.600000	0.989669	1000.0	0.390625	0.1953125	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
