rank	layer_id	module_path	role	stage	layer_type	drift_effective_l2	drift_effective_linf	drift_abs_to_weight_abs_corr	retention_time_s	reference_mean_acc_drop	reference_std_acc_drop	source	evidence_grade
21	26	stages.2.blocks.4.attn.qkv	attention_qkv	stage_2	AnalogLinear	210.767426	3.600000	0.989160	1000.0	0.5208333333333334	0.8131507810414581	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
22	18	stages.2.blocks.2.attn.qkv	attention_qkv	stage_2	AnalogLinear	204.927673	3.600000	0.988390	1000.0	0.13020833333333334	1.2404009689620867	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
23	39	stages.3.blocks.1.attn.proj	attention_proj	stage_3	AnalogLinear	201.015015	3.600000	0.983227	1000.0	0.13020833333333334	0.4915256793796061	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
24	30	stages.2.blocks.5.attn.qkv	attention_qkv	stage_2	AnalogLinear	200.511917	3.600000	0.987974	1000.0	0.390625	0.1953125	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
25	9	stages.1.blocks.1.mlp.fc2	mlp_fc2	stage_1	AnalogLinear	198.374924	3.600000	0.989257	1000.0	26.236979166666668	14.32898190708222	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
26	4	stages.1.blocks.0.mlp.fc1	mlp_fc1	stage_1	AnalogLinear	197.161148	3.600000	0.989028	1000.0	1.4973958333333333	0.22552744890219756	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
27	10	stages.2.blocks.0.attn.qkv	attention_qkv	stage_2	AnalogLinear	194.518188	3.600000	0.987736	1000.0	0.6510416666666666	0.9021097956087902	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
28	22	stages.2.blocks.3.attn.qkv	attention_qkv	stage_2	AnalogLinear	193.647598	3.600000	0.987447	1000.0	0.6510416666666666	0.22552744890219756	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
29	6	stages.1.blocks.1.attn.qkv	attention_qkv	stage_1	AnalogLinear	176.860291	3.600000	0.990336	1000.0	0.390625	0.33829117335329634	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
30	2	stages.1.blocks.0.attn.qkv	attention_qkv	stage_1	AnalogLinear	162.249756	3.600000	0.989023	1000.0	0.0	0.5167483029423029	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
31	8	stages.1.blocks.1.mlp.fc1	mlp_fc1	stage_1	AnalogLinear	160.538651	3.600000	0.983697	1000.0	1.6276041666666667	0.40657539052072905	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
32	15	stages.2.blocks.1.attn.proj	attention_proj	stage_2	AnalogLinear	139.275696	3.600000	0.991703	1000.0	-0.1953125	0.5167483029423029	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
33	11	stages.2.blocks.0.attn.proj	attention_proj	stage_2	AnalogLinear	138.559006	3.600000	0.991503	1000.0	0.3255208333333333	1.0022659061419694	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
34	27	stages.2.blocks.4.attn.proj	attention_proj	stage_2	AnalogLinear	122.752907	3.600000	0.989384	1000.0	0.4557291666666667	0.29834477180702085	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
35	23	stages.2.blocks.3.attn.proj	attention_proj	stage_2	AnalogLinear	121.469162	3.600000	0.988980	1000.0	0.13020833333333334	0.40657539052072905	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
36	19	stages.2.blocks.2.attn.proj	attention_proj	stage_2	AnalogLinear	116.211311	3.600000	0.988072	1000.0	0.5859375	0.78125	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
37	3	stages.1.blocks.0.attn.proj	attention_proj	stage_1	AnalogLinear	110.505341	3.600000	0.991506	1000.0	-0.390625	0.390625	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
38	7	stages.1.blocks.1.attn.proj	attention_proj	stage_1	AnalogLinear	102.459480	3.600000	0.989931	1000.0	0.3255208333333333	0.5966895436140417	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
39	31	stages.2.blocks.5.attn.proj	attention_proj	stage_2	AnalogLinear	101.418953	3.600000	0.984221	1000.0	0.2604166666666667	0.40657539052072905	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
40	1	patch_embed.conv2.conv	patch_embed_conv	patch_embed	AnalogConv2d	87.684448	3.600000	0.984681	1000.0	0.5859375	0.5167483029423029	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
41	16	stages.2.blocks.1.mlp.fc1	mlp_fc1	stage_2	AnalogLinear	54.932751	3.600000	0.862636	1000.0	0.2604166666666667	0.40657539052072905	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
42	0	patch_embed.conv1.conv	patch_embed_conv	patch_embed	AnalogConv2d	40.426289	3.600000	0.995837	1000.0	0.5208333333333334	0.9634536840461422	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
