rank	layer_id	module_path	role	stage	layer_type	drift_effective_l2	drift_effective_linf	drift_abs_to_weight_abs_corr	retention_time_s	reference_mean_acc_drop	reference_std_acc_drop	source	evidence_grade
19	30	stages.2.blocks.5.attn.qkv	attention_qkv	stage_2	AnalogLinear	225.660599	3.600000	0.990393	1000.0	0.390625	0.1953125	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
20	35	stages.3.blocks.0.attn.proj	attention_proj	stage_3	AnalogLinear	219.887726	3.600000	0.986895	1000.0	0.390625	0.390625	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
21	9	stages.1.blocks.1.mlp.fc2	mlp_fc2	stage_1	AnalogLinear	209.855194	3.600000	0.990257	1000.0	26.236979166666668	14.32898190708222	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
22	13	stages.2.blocks.0.mlp.fc2	mlp_fc2	stage_2	AnalogLinear	208.894424	3.600000	0.984679	1000.0	1.0416666666666667	0.40657539052072905	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
23	4	stages.1.blocks.0.mlp.fc1	mlp_fc1	stage_1	AnalogLinear	205.244705	3.600000	0.989803	1000.0	1.4973958333333333	0.22552744890219756	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
24	10	stages.2.blocks.0.attn.qkv	attention_qkv	stage_2	AnalogLinear	200.755615	3.600000	0.988416	1000.0	0.6510416666666666	0.9021097956087902	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
25	26	stages.2.blocks.4.attn.qkv	attention_qkv	stage_2	AnalogLinear	199.314087	3.600000	0.987820	1000.0	0.5208333333333334	0.8131507810414581	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
26	8	stages.1.blocks.1.mlp.fc1	mlp_fc1	stage_1	AnalogLinear	198.618851	3.600000	0.989195	1000.0	1.6276041666666667	0.40657539052072905	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
27	14	stages.2.blocks.1.attn.qkv	attention_qkv	stage_2	AnalogLinear	195.437714	3.600000	0.987359	1000.0	0.6510416666666666	0.29834477180702085	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
28	5	stages.1.blocks.0.mlp.fc2	mlp_fc2	stage_1	AnalogLinear	194.856918	3.600000	0.988821	1000.0	0.06510416666666667	0.29834477180702085	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
29	2	stages.1.blocks.0.attn.qkv	attention_qkv	stage_1	AnalogLinear	176.584793	3.600000	0.990590	1000.0	0.0	0.5167483029423029	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
30	22	stages.2.blocks.3.attn.qkv	attention_qkv	stage_2	AnalogLinear	174.367569	3.600000	0.984155	1000.0	0.6510416666666666	0.22552744890219756	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
31	6	stages.1.blocks.1.attn.qkv	attention_qkv	stage_1	AnalogLinear	170.214844	3.600000	0.989464	1000.0	0.390625	0.33829117335329634	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
32	36	stages.3.blocks.0.mlp.fc1	mlp_fc1	stage_3	AnalogLinear	141.289581	3.600000	0.901620	1000.0	2.34375	0.5167483029423029	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
33	27	stages.2.blocks.4.attn.proj	attention_proj	stage_2	AnalogLinear	135.828171	3.600000	0.990871	1000.0	0.4557291666666667	0.29834477180702085	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
34	15	stages.2.blocks.1.attn.proj	attention_proj	stage_2	AnalogLinear	133.812256	3.600000	0.990831	1000.0	-0.1953125	0.5167483029423029	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
35	23	stages.2.blocks.3.attn.proj	attention_proj	stage_2	AnalogLinear	130.853317	3.600000	0.990321	1000.0	0.13020833333333334	0.40657539052072905	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
36	11	stages.2.blocks.0.attn.proj	attention_proj	stage_2	AnalogLinear	129.693359	3.600000	0.990202	1000.0	0.3255208333333333	1.0022659061419694	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
37	31	stages.2.blocks.5.attn.proj	attention_proj	stage_2	AnalogLinear	121.073357	3.600000	0.988695	1000.0	0.2604166666666667	0.40657539052072905	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
38	19	stages.2.blocks.2.attn.proj	attention_proj	stage_2	AnalogLinear	112.649605	3.600000	0.986889	1000.0	0.5859375	0.78125	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
39	3	stages.1.blocks.0.attn.proj	attention_proj	stage_1	AnalogLinear	112.353989	3.600000	0.991517	1000.0	-0.390625	0.390625	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
40	1	patch_embed.conv2.conv	patch_embed_conv	patch_embed	AnalogConv2d	99.514565	3.600000	0.988261	1000.0	0.5859375	0.5167483029423029	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
41	7	stages.1.blocks.1.attn.proj	attention_proj	stage_1	AnalogLinear	94.228523	3.600000	0.988104	1000.0	0.3255208333333333	0.5966895436140417	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
42	0	patch_embed.conv1.conv	patch_embed_conv	patch_embed	AnalogConv2d	35.638184	3.600000	0.995101	1000.0	0.5208333333333334	0.9634536840461422	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
