status	checkpoint	layer_label	analog_layers	eval_c2c	eval_d2d	n_json	n_d2d_seeds	d2d_seeds	mean_ppl	std_ppl	min_ppl	max_ppl	best_json	worst_json	missing_required_metadata
candidate_index_not_claim_lock	hat_combined002_all_seed42	all24	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	0.01	0.02	1	1	NA	1.7034	0	1.7034	1.7034	eval_hat_combined002_all_seed42_c2c0.01_d2d0.02.json	eval_hat_combined002_all_seed42_c2c0.01_d2d0.02.json	checkpoint_sha256,command,commit,config,dataset,eval_protocol
candidate_index_not_claim_lock	hat_combined_500_v2_seed42	all24	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	0	0.02	5	5	42,123,456,789,1001	26.953	0.314201	26.6873	27.4905	eval_hat_combined_500_v2_seed42_c2c0.0_d2d0.02_seed789.json	eval_hat_combined_500_v2_seed42_c2c0.0_d2d0.02_seed456.json	checkpoint_sha256,command,commit,config,dataset,eval_protocol
candidate_index_not_claim_lock	hat_combined_500_v2_seed42	all24	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	0	0.04	1	1	NA	47.6356	0	47.6356	47.6356	eval_hat_combined_500_v2_seed42_c2c0.0_d2d0.04.json	eval_hat_combined_500_v2_seed42_c2c0.0_d2d0.04.json	checkpoint_sha256,command,commit,config,dataset,eval_protocol
candidate_index_not_claim_lock	hat_combined_500_v2_seed42	all24	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	0	0.05	5	5	42,123,456,789,1001	71.8453	3.35643	66.786	75.6649	eval_hat_combined_500_v2_seed42_c2c0.0_d2d0.05_seed789.json	eval_hat_combined_500_v2_seed42_c2c0.0_d2d0.05_seed456.json	checkpoint_sha256,command,commit,config,dataset,eval_protocol
candidate_index_not_claim_lock	hat_combined_500_v2_seed42	all24	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	0.01	0.02	5	5	42,123,456,789,1001	28.263	0.238346	28.0501	28.6555	eval_hat_combined_500_v2_seed42_c2c0.01_d2d0.02_seed789.json	eval_hat_combined_500_v2_seed42_c2c0.01_d2d0.02_seed456.json	checkpoint_sha256,command,commit,config,dataset,eval_protocol
candidate_index_not_claim_lock	hat_combined_last1_500_v2_seed42_analogall	all24	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	0	0.02	5	5	42,123,456,789,1001	51.7863	2.45748	48.6087	55.0331	eval_hat_combined_last1_500_v2_seed42_analogall_c2c0.0_d2d0.02_seed789.json	eval_hat_combined_last1_500_v2_seed42_analogall_c2c0.0_d2d0.02_seed456.json	checkpoint_sha256,command,commit,config,dataset,eval_protocol
candidate_index_not_claim_lock	hat_combined_last1_500_v2_seed42_analogall	all24	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	0	0.05	5	5	42,123,456,789,1001	248.346	22.7985	219.811	278.722	eval_hat_combined_last1_500_v2_seed42_analogall_c2c0.0_d2d0.05_seed789.json	eval_hat_combined_last1_500_v2_seed42_analogall_c2c0.0_d2d0.05_seed456.json	checkpoint_sha256,command,commit,config,dataset,eval_protocol
candidate_index_not_claim_lock	hat_combined_last1_500_v2_seed42_analogall	all24	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	0.01	0.02	5	5	42,123,456,789,1001	57.9252	2.25471	54.5022	60.6289	eval_hat_combined_last1_500_v2_seed42_analogall_c2c0.01_d2d0.02_seed789.json	eval_hat_combined_last1_500_v2_seed42_analogall_c2c0.01_d2d0.02_seed456.json	checkpoint_sha256,command,commit,config,dataset,eval_protocol
candidate_index_not_claim_lock	hat_d2d000_500_v2_seed42	all24	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	0	0.02	5	5	42,123,456,789,1001	51.3274	2.2984	48.4025	54.4705	eval_hat_d2d000_500_v2_seed42_c2c0.0_d2d0.02_seed789.json	eval_hat_d2d000_500_v2_seed42_c2c0.0_d2d0.02_seed456.json	checkpoint_sha256,command,commit,config,dataset,eval_protocol
candidate_index_not_claim_lock	hat_d2d000_500_v2_seed42	all24	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	0	0.04	5	5	42,123,456,789,1001	140.009	12.0244	125.735	155.9	eval_hat_d2d000_500_v2_seed42_c2c0.0_d2d0.04_seed789.json	eval_hat_d2d000_500_v2_seed42_c2c0.0_d2d0.04_seed456.json	checkpoint_sha256,command,commit,config,dataset,eval_protocol
candidate_index_not_claim_lock	hat_d2d000_500_v2_seed42	all24	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	0	0.05	5	5	42,123,456,789,1001	254.957	24.4009	224.424	287.892	eval_hat_d2d000_500_v2_seed42_c2c0.0_d2d0.05_seed789.json	eval_hat_d2d000_500_v2_seed42_c2c0.0_d2d0.05_seed456.json	checkpoint_sha256,command,commit,config,dataset,eval_protocol
candidate_index_not_claim_lock	hat_d2d000_500_v2_seed42	all24	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	0.01	0.02	5	5	42,123,456,789,1001	57.4564	2.32193	54.1079	60.2932	eval_hat_d2d000_500_v2_seed42_c2c0.01_d2d0.02_seed789.json	eval_hat_d2d000_500_v2_seed42_c2c0.01_d2d0.02_seed456.json	checkpoint_sha256,command,commit,config,dataset,eval_protocol
candidate_index_not_claim_lock	hat_d2d002_500_ctx512_seed42	all24	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	0	0.01	1	1	NA	21.5379	0	21.5379	21.5379	eval_hat_d2d002_500_ctx512_seed42_c2c0.0_d2d0.01.json	eval_hat_d2d002_500_ctx512_seed42_c2c0.0_d2d0.01.json	checkpoint_sha256,command,commit,config,dataset,eval_protocol
candidate_index_not_claim_lock	hat_d2d002_500_ctx512_seed42	all24	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	0	0.02	1	1	NA	32.3272	0	32.3272	32.3272	eval_hat_d2d002_500_ctx512_seed42_c2c0.0_d2d0.02.json	eval_hat_d2d002_500_ctx512_seed42_c2c0.0_d2d0.02.json	checkpoint_sha256,command,commit,config,dataset,eval_protocol
candidate_index_not_claim_lock	hat_d2d002_500_ctx512_seed42	all24	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	0	0.03	1	1	NA	43.6257	0	43.6257	43.6257	eval_hat_d2d002_500_ctx512_seed42_c2c0.0_d2d0.03.json	eval_hat_d2d002_500_ctx512_seed42_c2c0.0_d2d0.03.json	checkpoint_sha256,command,commit,config,dataset,eval_protocol
candidate_index_not_claim_lock	hat_d2d002_500_ctx512_seed42	all24	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	0	0.04	1	1	NA	81.4257	0	81.4257	81.4257	eval_hat_d2d002_500_ctx512_seed42_c2c0.0_d2d0.04.json	eval_hat_d2d002_500_ctx512_seed42_c2c0.0_d2d0.04.json	checkpoint_sha256,command,commit,config,dataset,eval_protocol
candidate_index_not_claim_lock	hat_d2d002_500_ctx512_seed42	all24	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	0	0.05	1	1	NA	402.655	0	402.655	402.655	eval_hat_d2d002_500_ctx512_seed42_c2c0.0_d2d0.05.json	eval_hat_d2d002_500_ctx512_seed42_c2c0.0_d2d0.05.json	checkpoint_sha256,command,commit,config,dataset,eval_protocol
candidate_index_not_claim_lock	hat_d2d002_500_seed42	all24	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	0	0.01	1	1	NA	1.0856	0	1.0856	1.0856	eval_hat_d2d002_500_seed42_c2c0.0_d2d0.01.json	eval_hat_d2d002_500_seed42_c2c0.0_d2d0.01.json	checkpoint_sha256,command,commit,config,dataset,eval_protocol
candidate_index_not_claim_lock	hat_d2d002_500_seed42	all24	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	0	0.04	1	1	NA	1.40702	0	1.40702	1.40702	eval_hat_d2d002_500_seed42_c2c0.0_d2d0.04.json	eval_hat_d2d002_500_seed42_c2c0.0_d2d0.04.json	checkpoint_sha256,command,commit,config,dataset,eval_protocol
candidate_index_not_claim_lock	hat_d2d002_500_v2_d2dseed1001_seed42	all24	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	0	0.02	1	1	1001	25.3122	0	25.3122	25.3122	eval_hat_d2d002_500_v2_d2dseed1001_seed42_c2c0.0_d2d0.02_seed1001.json	eval_hat_d2d002_500_v2_d2dseed1001_seed42_c2c0.0_d2d0.02_seed1001.json	checkpoint_sha256,command,commit,config,dataset,eval_protocol
candidate_index_not_claim_lock	hat_d2d002_500_v2_d2dseed1001_seed42	all24	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	0	0.04	1	1	1001	39.5409	0	39.5409	39.5409	eval_hat_d2d002_500_v2_d2dseed1001_seed42_c2c0.0_d2d0.04_seed1001.json	eval_hat_d2d002_500_v2_d2dseed1001_seed42_c2c0.0_d2d0.04_seed1001.json	checkpoint_sha256,command,commit,config,dataset,eval_protocol
candidate_index_not_claim_lock	hat_d2d002_500_v2_d2dseed1001_seed42	all24	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	0	0.05	1	1	1001	55.7137	0	55.7137	55.7137	eval_hat_d2d002_500_v2_d2dseed1001_seed42_c2c0.0_d2d0.05_seed1001.json	eval_hat_d2d002_500_v2_d2dseed1001_seed42_c2c0.0_d2d0.05_seed1001.json	checkpoint_sha256,command,commit,config,dataset,eval_protocol
candidate_index_not_claim_lock	hat_d2d002_500_v2_d2dseed123_seed42	all24	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	0	0.02	1	1	123	25.3973	0	25.3973	25.3973	eval_hat_d2d002_500_v2_d2dseed123_seed42_c2c0.0_d2d0.02_seed123.json	eval_hat_d2d002_500_v2_d2dseed123_seed42_c2c0.0_d2d0.02_seed123.json	checkpoint_sha256,command,commit,config,dataset,eval_protocol
