CH1 Voltage 1,CH1 Current 1,CH1 Resistance 1,CH1 Power 1,CH1 Time 1,CH1 State 1,CH1 Source 1,CH2 Voltage 1,CH2 Current 1,CH2 Resistance 1,CH2 Power 1,CH2 Time 1,CH2 State 1,CH2 Source 1
-30.0,-5.09571e-07,58873052.037890695,1.528713e-05,2.146639,1792.0,-30.0,-11.2245,-3.77082e-08,297667350.867981,4.232556909e-07,2.146639,1216.0,-11.224489795918366
-30.0,-5.89395e-07,50899651.33738834,1.768185e-05,2.20294,1792.0,-30.0,-12.0408,-4.27716e-08,281513901.7478888,5.1500428128e-07,2.20294,1216.0,-12.040816326530614
-30.0,-6.66742e-07,44994915.57454008,2.000226e-05,2.27746,1792.0,-30.0,-12.8571,-4.66087e-08,275851933.2227674,5.992527167700001e-07,2.27746,1216.0,-12.857142857142858
-30.0,-7.54011e-07,39787217.9583587,2.262033e-05,2.337859,1792.0,-30.0,-13.6735,-5.2045800000000004e-08,262720526.92052,7.116482463000001e-07,2.337859,1216.0,-13.673469387755102
-30.0,-8.49218e-07,35326618.13574371,2.5476540000000002e-05,2.388011,1792.0,-30.0,-14.48981,-5.8466400000000004e-08,247831404.02008674,8.471670273840001e-07,2.388011,1216.0,-14.48979591836735
-30.0,-9.39693e-07,31925320.290775817,2.819079e-05,2.446055,1792.0,-30.0,-15.3061,-6.3512e-08,240995402.4436327,9.721210232e-07,2.446055,1216.0,-15.306122448979593
-30.0,-1.0282199999999999e-06,29176635.350411393,3.08466e-05,2.511975,2304.0,-30.0,-16.122410000000002,-6.80161e-08,237038142.43980473,1.096583450801e-06,2.511975,1216.0,-16.122448979591837
-30.0,-1.13619e-06,26404034.536477175,3.40857e-05,2.55766,2304.0,-30.0,-16.9388,-7.6353e-08,221848519.37710375,1.2933281964e-06,2.55766,1728.0,-16.93877551020408
-30.0,-1.27083e-06,23606619.296050612,3.81249e-05,2.572867,2304.0,-30.0,-17.755090000000003,-9.0953e-08,195211702.74757296,1.6148787007700002e-06,2.572867,1728.0,-17.755102040816325
-30.0,-1.4080299999999999e-06,21306364.210989825,4.22409e-05,2.5886229999999997,2304.0,-30.0,-18.5714,-1.0108e-07,183729719.03442818,1.8771971120000001e-06,2.5886229999999997,1728.0,-18.571428571428573
-30.0,-1.5360699999999998e-06,19530359.94453378,4.60821e-05,2.60933,2304.0,-30.0,-19.387800000000002,-1.08235e-07,179126899.80135816,2.0984385330000004e-06,2.60933,1728.0,-19.387755102040817
-30.0,-1.66681e-06,17998452.133116554,5.00043e-05,2.628987,2304.0,-30.0,-20.2041,-1.16742e-07,173066248.65087116,2.3586670422e-06,2.628987,1728.0,-20.20408163265306
-30.0,-1.79987e-06,16667870.457310807,5.3996099999999996e-05,2.648784,2304.0,-30.0,-21.02,-1.25644e-07,167298080.29034412,2.64103688e-06,2.648784,1792.0,-21.02040816326531
-30.0,-1.94448e-06,15428289.311281165,5.83344e-05,2.663191,2304.0,-30.0,-21.837,-1.38794e-07,157333890.51399916,3.030844578e-06,2.663191,1792.0,-21.836734693877553
-30.0,-2.06237e-06,14546371.407652361,6.18711e-05,2.684641,2304.0,-30.0,-22.653000000000002,-1.4506e-07,156162967.04811803,3.2860441800000006e-06,2.684641,1792.0,-22.653061224489797
-30.0,-2.18568e-06,13725705.501262765,6.55704e-05,2.7056459999999998,2304.0,-30.0,-23.469,-1.54107e-07,152290291.81023577,3.616737183e-06,2.7056459999999998,1792.0,-23.46938775510204
-30.0,-2.21666e-06,13533875.289850496,6.64998e-05,2.7610449999999997,2304.0,-30.0,-24.286,-1.46413e-07,165873248.9601333,3.555786118e-06,2.7610449999999997,1792.0,-24.285714285714285
-30.0,-2.37458e-06,12633813.137481155,7.12374e-05,2.7774159999999997,2304.0,-30.0,-25.102,-1.6089499999999999e-07,156014792.25581902,4.038786289999999e-06,2.7774159999999997,1792.0,-25.10204081632653
-30.0,-2.51134e-06,11945813.788654663,7.53402e-05,2.797001,2304.0,-30.0,-25.918000000000003,-1.6929899999999999e-07,153090095.03895476,4.387891482e-06,2.797001,1792.0,-25.91836734693878
-30.0,-2.64173e-06,11356194.614892513,7.92519e-05,2.817913,2304.0,-30.0,-26.735000000000003,-1.76896e-07,151133999.63820553,4.72931456e-06,2.817913,1792.0,-26.734693877551024
-30.0,-2.76247e-06,10859846.441771314,8.28741e-05,2.840029,2304.0,-30.0,-27.551000000000002,-1.84532e-07,149302018.07816532,5.0840411320000005e-06,2.840029,1792.0,-27.551020408163268
-30.0,-2.83201e-06,10593182.93367608,8.49603e-05,2.8721039999999998,2304.0,-30.0,-28.367,-1.86132e-07,152402596.00713474,5.2800064439999995e-06,2.8721039999999998,1792.0,-28.367346938775512
-30.0,-2.9599599999999998e-06,10135272.098271599,8.879879999999999e-05,2.8945089999999998,2304.0,-30.0,-29.184,-1.96907e-07,148212100.12848705,5.746533888e-06,2.8945089999999998,1792.0,-29.183673469387756
-30.0,-3.1059099999999996e-06,9659004.929312183,9.317729999999999e-05,2.913169,2304.0,-30.0,-30.0,-2.06382e-07,145361514.08553073,6.19146e-06,2.913169,1792.0,-30.0
-30.0,-3.06459e-06,9789237.712059362,9.19377e-05,2.920827,2304.0,-30.0,-30.0,-1.99937e-07,150047264.88843986,5.99811e-06,2.920827,1792.0,-30.0
-30.0,-2.7470899999999996e-06,10920646.939124675,8.241269999999999e-05,2.9425879999999998,2304.0,-30.0,-29.184,-1.74611e-07,167137236.48567387,5.0958474240000005e-06,2.9425879999999998,1792.0,-29.183673469387756
-30.0,-2.47942e-06,12099603.939631043,7.43826e-05,2.9661869999999997,2304.0,-30.0,-28.367,-1.56578e-07,181168491.1034756,4.441648125999999e-06,2.9661869999999997,1792.0,-28.367346938775512
-30.0,-2.24383e-06,13369996.835767416,6.73149e-05,2.9871849999999998,2304.0,-30.0,-27.551000000000002,-1.37863e-07,199843322.71893114,3.7982635130000002e-06,2.9871849999999998,1792.0,-27.551020408163268
-30.0,-2.03211e-06,14762980.350473154,6.096329999999999e-05,3.008445,2304.0,-30.0,-26.735000000000003,-1.2216699999999998e-07,218839784.8846252,3.266134745e-06,3.008445,1792.0,-26.734693877551024
-30.0,-1.83914e-06,16311971.89990974,5.51742e-05,3.030432,2304.0,-30.0,-25.918000000000003,-1.05942e-07,244643295.38804254,2.7458047560000003e-06,3.030432,1792.0,-25.91836734693878
-30.0,-1.6549099999999999e-06,18127874.02336079,4.9647299999999995e-05,3.049784,2304.0,-30.0,-25.102,-9.3335e-08,268945197.4071892,2.34289517e-06,3.049784,1792.0,-25.10204081632653
-30.0,-1.51495e-06,19802633.75028879,4.54485e-05,3.095536,2304.0,-30.0,-24.286,-8.7134e-08,278720132.21015906,2.1161363240000004e-06,3.095536,1792.0,-24.285714285714285
-30.0,-1.36282e-06,22013178.556228995,4.08846e-05,3.129721,2304.0,-30.0,-23.469,-7.524840000000001e-08,311887030.1561229,1.7660046996000004e-06,3.129721,1280.0,-23.46938775510204
-30.0,-1.27099e-06,23603647.55033478,3.8129699999999995e-05,3.2468049999999997,2304.0,-30.0,-22.653000000000002,-6.688650000000001e-08,338678208.607118,1.5151798845000004e-06,3.2468049999999997,1280.0,-22.653061224489797
-30.0,-1.1428599999999998e-06,26249934.375164066,3.4285799999999996e-05,3.3383399999999996,2304.0,-30.0,-21.837,-5.72105e-08,381695667.75329703,1.2493056885e-06,3.3383399999999996,1280.0,-21.836734693877553
-30.0,-1.00276e-06,29917427.898998767,3.0082799999999996e-05,3.392064,2304.0,-30.0,-21.02,-4.73605e-08,443829773.75661147,9.955177100000001e-07,3.392064,1280.0,-21.02040816326531
-30.0,-8.7808e-07,34165451.89504373,2.63424e-05,3.451975,2304.0,-30.0,-20.20409,-3.92505e-08,514747328.05951524,7.93020634545e-07,3.451975,1216.0,-20.20408163265306
-30.0,-7.66907e-07,39118172.086054765,2.300721e-05,3.5122959999999996,1792.0,-30.0,-19.387790000000003,-3.19824e-08,606201848.5166842,6.200680548960002e-07,3.5122959999999996,1216.0,-19.387755102040817
-30.0,-6.619759999999999e-07,45318863.52375313,1.985928e-05,3.569066,1792.0,-30.0,-18.57139,-2.5246e-08,735617127.4657372,4.6885331194e-07,3.569066,1216.0,-18.571428571428573
-30.0,-5.64616e-07,53133457.07525115,1.693848e-05,3.623704,1792.0,-30.0,-17.755090000000003,-1.91554e-08,926897376.1967906,3.4010585098600006e-07,3.623704,1216.0,-17.755102040816325
