CH1_C1_n,CH1_C1_mean_nA,CH1_C1_std_nA,CH1_C1_min_nA,CH1_C1_max_nA,CH1_C1_peak_nA,CH1_C1_peak_time_ms,CH1_V1_mean_V,CH1_V1_min_V,CH1_V1_max_V,CH1_R1_mean_Ohm,CH1_C2_n,CH1_C2_mean_nA,CH1_C2_std_nA,CH1_C2_min_nA,CH1_C2_max_nA,CH1_C2_peak_nA,CH1_C2_peak_time_ms,CH1_V2_mean_V,CH1_V2_min_V,CH1_V2_max_V,CH1_R2_mean_Ohm,CH1_C3_n,CH1_C3_mean_nA,CH1_C3_std_nA,CH1_C3_min_nA,CH1_C3_max_nA,CH1_C3_peak_nA,CH1_C3_peak_time_ms,CH1_V3_mean_V,CH1_V3_min_V,CH1_V3_max_V,CH1_R3_mean_Ohm,CH2_C1_n,CH2_C1_mean_nA,CH2_C1_std_nA,CH2_C1_min_nA,CH2_C1_max_nA,CH2_C1_peak_nA,CH2_C1_peak_time_ms,CH2_V1_mean_V,CH2_V1_min_V,CH2_V1_max_V,CH2_R1_mean_Ohm,CH2_C2_n,CH2_C2_mean_nA,CH2_C2_std_nA,CH2_C2_min_nA,CH2_C2_max_nA,CH2_C2_peak_nA,CH2_C2_peak_time_ms,CH2_V2_mean_V,CH2_V2_min_V,CH2_V2_max_V,CH2_R2_mean_Ohm,CH2_C3_n,CH2_C3_mean_nA,CH2_C3_std_nA,CH2_C3_min_nA,CH2_C3_max_nA,CH2_C3_peak_nA,CH2_C3_peak_time_ms,CH2_V3_mean_V,CH2_V3_min_V,CH2_V3_max_V,CH2_R3_mean_Ohm,device,measurement,type
2000,-16.049363250000003,7.528321679448153,-24.4801,1.2903,-24.4801,35.580081,-0.2999997854999999,-0.300093,-0.29988,403979073.51149136,2000,-17.096430950000002,1.5718463696150249,-20.262700000000002,-14.714400000000001,-20.262700000000002,49.852213,-0.3000000024999999,-0.3000009999999999,-0.3,17694126.097041287,2000,-13.089304649999999,0.8655502802016507,-14.6815,-11.6767,-14.6815,99.188127,-0.300000006,-0.3000009999999999,-0.3,23019600.663546503,2000,0.07799105,0.210501756119901,-0.8824,2.1593999999999998,-0.8824,25.663684,-0.30000002499999995,-0.30006,-0.2999259999999999,-inf,2000,-0.05089465,0.008470168135971436,-0.11970000000000001,0.0392,-0.11970000000000001,61.564732,-0.3000000889999999,-0.3000009999999999,-0.2999989999999999,6175408856.467889,2000,-0.040438350000000005,0.0045544325338457555,-0.0579,-0.0201,-0.0579,118.923165,-0.3000000689999999,-0.3000009999999999,-0.2999989999999999,7521176738.373146,3,1,wafer
2000,-15.2709359,8.26693757334734,-24.4543,1.7612,-24.4543,35.942521,-0.3000000224999999,-0.300118,-0.2999719999999999,382166788.4421669,2000,-18.1021564,1.4125619843138935,-20.9205,-15.9388,-20.9205,50.042823,-0.30000000499999985,-0.3000009999999999,-0.3,16672451.132931508,547,-15.465256489945157,0.2509012608951826,-15.911100000000001,-15.040200000000002,-15.911100000000001,99.613444,-0.3000000073126142,-0.3000009999999999,-0.3,19403416.49455205,2000,0.19664125,0.4387764325055514,-1.8854000000000002,6.101,-1.8854000000000002,29.574682,-0.2999993719999999,-0.3000609999999999,-0.2999179999999999,-419348819.88413674,2000,-0.036353800000000006,0.004913977935397633,-0.055600000000000004,-0.016900000000000002,-0.055600000000000004,50.437772,-0.3000001054999999,-0.3000009999999999,-0.299998,8436383395.92824,547,-0.03470786106032906,0.004682618510249211,-0.0442,-0.0177,-0.0442,107.161106,-0.3000000731261426,-0.3000009999999999,-0.2999989999999999,8831052390.175907,3,2,wafer
2000,-18.8176448,8.200272751091827,-27.0562,0.4024,-27.0562,35.457626999999995,-0.2999998279999999,-0.300158,-0.299904,85710292.14094472,2000,-20.680307600000003,1.4668134995231779,-23.5713,-18.409200000000002,-23.5713,50.110648,-0.3000000029999999,-0.3000009999999999,-0.3,14578881.75867184,547,-17.91416361974406,0.26436915708879594,-18.3843,-17.4671,-18.3843,99.790497,-0.30000000548446065,-0.3000009999999999,-0.3,16750165.093927743,2000,0.13737585000000002,0.2532107231080982,-1.4645000000000001,2.8692,-1.4645000000000001,10.919617,-0.29999940349999993,-0.30006,-0.29978,2511976572.8214283,2000,-0.041259,0.005048853777069714,-0.05910000000000001,-0.0217,-0.05910000000000001,92.813341,-0.30000009499999986,-0.3000009999999999,-0.2999989999999999,7390945917.076296,546,-0.03757747252747253,0.00549258932138316,-0.058300000000000005,-0.0274,-0.058300000000000005,104.105124,-0.300000119047619,-0.3000009999999999,-0.2999989999999999,8141738190.965032,3,3,wafer
2000,-18.3684171,8.220348591241027,-26.765,0.49770000000000003,-26.765,35.515401,-0.29999981349999993,-0.3000859999999999,-0.299966,103799232.52528004,2000,-20.6568617,1.3860998790168102,-23.395300000000002,-18.5113,-23.395300000000002,50.248081,-0.30000000549999994,-0.3000009999999999,-0.3,14587819.582838269,503,-18.06857375745527,0.23672066772692335,-18.4867,-17.6636,-18.4867,100.040119,-0.30000000397614307,-0.3000009999999999,-0.2999989999999999,16606257.550432108,2000,0.17003365000000004,0.24273746425089185,-0.8505,2.3729999999999998,-0.8505,2.785843,-0.29999987849999993,-0.30006,-0.299933,-inf,2000,-0.023930100000000003,0.005989723063814437,-0.0407,-0.0016,-0.0407,73.272706,-0.30000010799999993,-0.3000009999999999,-0.299998,13935962650.706919,500,-0.026034199999999997,0.004391174693676028,-0.0421,0.0005,-0.0421,111.139676,-0.30000007199999995,-0.3000009999999999,-0.2999989999999999,10655510466.24677,3,4,wafer
2000,-17.719345750000002,8.100416084338608,-26.3671,1.5688,-26.3671,35.054684,-0.2999998109999999,-0.3001089999999999,-0.299919,159126631.14886048,2000,-20.29705655,1.303057152272356,-22.8671,-18.273,-22.8671,50.050308,-0.30000000899999985,-0.3000009999999999,-0.3,14840854.188585121,482,-17.873322199170122,0.21403150754351327,-18.2501,-17.5091,-18.2501,99.932552,-0.3000000041493775,-0.3000009999999999,-0.3,16787194.038238827,2000,0.17870800000000003,0.27753220360530956,-2.2540999999999998,2.8004,-2.2540999999999998,15.630507,-0.2999995594999999,-0.3000609999999999,-0.299913,6196067863.34238,2000,-0.02397275,0.0062361861298571835,-0.045700000000000005,-0.0069,-0.045700000000000005,85.69261399999999,-0.30000012749999994,-0.3000009999999999,-0.2999989999999999,13466973085.350716,480,-0.0262825,0.005553169269460624,-0.044000000000000004,-0.0173,-0.044000000000000004,104.478963,-0.30000013958333327,-0.3000009999999999,-0.2999989999999999,11903286447.224607,3,5,wafer
2000,-16.590172900000002,8.025826789463054,-25.751099999999997,2.7663,-25.751099999999997,35.438452,-0.2999999694999999,-0.300098,-0.2998369999999999,237410525.3207073,2000,-17.8801353,1.3187030162877815,-20.6396,-15.926100000000002,-20.6396,49.924443,-0.3000000059999999,-0.3000009999999999,-0.2999989999999999,16868146.35223058,443,-15.600925282167044,0.17423841935744364,-15.908600000000002,-15.306300000000002,-15.908600000000002,99.45137,-0.30000001354401795,-0.3000009999999999,-0.3,19232022.391393475,2000,0.0030426499999999905,0.5981561039547507,-5.7674,3.4397,-5.7674,34.191742999999995,-0.2999995284999999,-0.300239,-0.299797,-inf,2000,-0.017977299999999998,0.007555872571394885,-0.052300000000000006,0.033999999999999996,-0.052300000000000006,77.269426,-0.3000001229999999,-0.300002,-0.299998,-inf,444,-0.017829504504504507,0.006613349842719033,-0.035199999999999995,0.006,-0.035199999999999995,105.803215,-0.3000001283783783,-0.3000009999999999,-0.2999989999999999,26195704500.970016,5,1,wafer
2000,-19.73054015,9.033607870898292,-29.5061,2.0213,-29.5061,35.721238,-0.3000000659999999,-0.300156,-0.299879,189479465.9458257,2000,-20.998946800000002,1.4345959658532368,-24.0112,-18.8351,-24.0112,50.249551,-0.30000000899999996,-0.3000009999999999,-0.2999989999999999,14352147.01594873,624,-18.332408012820515,0.2690819778775915,-18.810000000000002,-17.8748,-18.810000000000002,99.964003,-0.30000000320512815,-0.3000009999999999,-0.2999989999999999,16367981.077220794,2000,0.06038655,0.7356935645529052,-10.613000000000001,6.0098,-10.613000000000001,11.5138,-0.29999963849999994,-0.300253,-0.299749,7010502920.3833475,2000,-0.0162528,0.005701561721408575,-0.0715,0.014,-0.0715,90.170918,-0.3000000989999999,-0.300002,-0.299998,21463985738.638744,625,-0.01722032,0.005361438158573231,-0.0351,0.002,-0.0351,110.433794,-0.30000014239999995,-0.300002,-0.2999989999999999,19107185683.177177,5,2,wafer
2000,-21.582195900000002,9.317202721912505,-31.624,0.7823,-31.624,35.015575,-0.29999981949999993,-0.3001649999999999,-0.299888,163183552.43417785,2000,-22.84370895,1.5607748054000241,-26.133599999999998,-20.5212,-26.133599999999998,49.734528,-0.3000000064999999,-0.3000009999999999,-0.3,13193018.013045443,929,-19.729694402583423,0.4238224862360712,-20.491699999999998,-19.0183,-20.491699999999998,99.149041,-0.3000000053821313,-0.3000009999999999,-0.3,15212510.72253105,2000,0.05630595,0.6983623070910832,-10.962000000000002,8.786,-10.962000000000002,32.823945,-0.29999972299999994,-0.300193,-0.2997229999999999,8313009699.06723,2000,-0.016496000000000004,0.00500446763883773,-0.048,0.0064,-0.048,49.828399,-0.30000008549999996,-0.3000009999999999,-0.2999989999999999,19935475362.41574,927,-0.016517583603020497,0.004772966913901618,-0.0361,0.0006000000000000002,-0.0361,108.016318,-0.30000009924487586,-0.3000009999999999,-0.2999989999999999,19590885452.682575,5,3,wafer
2000,-21.3098999,9.820034220335705,-32.0653,1.8244,-32.0653,34.832312,-0.2999997769999999,-0.300118,-0.299786,140837736.0823121,2000,-23.3758814,1.5472191526371382,-26.5519,-21.0596,-26.5519,50.240546,-0.30000001449999997,-0.3000009999999999,-0.2999989999999999,12889216.298405902,483,-20.633342857142853,0.22848897665765067,-21.0336,-20.247799999999998,-21.0336,100.20913,-0.3000000041407867,-0.3000009999999999,-0.2999989999999999,14541352.20457336,2000,0.12441400000000002,0.7829913966625839,-9.674,5.96,-9.674,34.112186,-0.30000022749999994,-0.3002499999999999,-0.2998349999999999,10345664799.686165,2000,-0.01450975,0.005536498563683805,-0.034100000000000005,0.0143,-0.034100000000000005,89.870305,-0.30000009549999995,-0.3000029999999999,-0.299998,24570360131.323368,483,-0.014997929606625259,0.0044237659576594375,-0.0305,0.0006000000000000002,-0.0305,109.621181,-0.30000007660455474,-0.3000009999999999,-0.2999989999999999,21901523618.727745,5,4,wafer
2000,-20.604674250000002,11.87454780991162,-34.0135,2.8139,-34.0135,38.79996,-0.29999979899999996,-0.300039,-0.2998409999999999,340121469.29584354,2000,-25.565365749999998,1.800607227094535,-29.349500000000003,-22.8924,-29.349500000000003,50.120464,-0.30000000899999996,-0.3000009999999999,-0.2999989999999999,11791859.298719307,507,-22.377835108481264,0.2764674707118299,-22.8656,-21.91,-22.8656,99.379163,-0.3000000039447731,-0.3000009999999999,-0.2999989999999999,13408164.474730168,2000,0.0961063,0.7902778484300124,-6.124,8.517,-6.124,33.461798,-0.29999998549999984,-0.300189,-0.2997479999999999,8432759789.404395,2000,-0.015977099999999998,0.005548229178170883,-0.0382,0.0424,-0.0382,93.280434,-0.3000001059999999,-0.3000029999999999,-0.299998,19607573953.37935,504,-0.01600138888888889,0.005332321831889229,-0.0427,0.0040999999999999995,-0.0427,108.186156,-0.3000001031746031,-0.300002,-0.2999989999999999,24810766211.745575,5,5,wafer
