file,mode,model,analog_layers,train_seed,eval_d2d_seed,sigma_d2d,ppl,wall_clock_time,gpu_id
eval_k107_a2_last2_seed456_c2c0.0_d2d0.04_seed456.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a2_last2_seed456,"22,23",,456,0.04,20.536550087041167,70.01927661895752,0
eval_k107_a2_last2_seed456_c2c0.0_d2d0.04_seed789.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a2_last2_seed456,"22,23",,789,0.04,20.46856524334846,69.129314661026,7
eval_k107_a2_last2_seed456_c2c0.0_d2d0.05_seed1001.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a2_last2_seed456,"22,23",,1001,0.05,20.622380381329307,67.40083622932434,3
eval_k107_a2_last2_seed456_c2c0.0_d2d0.05_seed123.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a2_last2_seed456,"22,23",,123,0.05,20.6763079690823,68.3649570941925,4
eval_k107_a2_last2_seed456_c2c0.0_d2d0.05_seed42.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a2_last2_seed456,"22,23",,42,0.05,20.669822121449755,67.80141520500183,1
eval_k107_a2_last2_seed456_c2c0.0_d2d0.05_seed456.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a2_last2_seed456,"22,23",,456,0.05,20.655255796998894,72.58974003791809,2
eval_k107_a2_last2_seed456_c2c0.0_d2d0.05_seed789.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a2_last2_seed456,"22,23",,789,0.05,20.594780469627533,66.28990030288696,5
eval_k107_a3_all_seed42_c2c0.0_d2d0.02_seed1001.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a3_all_seed42,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23",,1001,0.02,37.39148523500526,72.48399591445923,4
eval_k107_a3_all_seed42_c2c0.0_d2d0.02_seed123.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a3_all_seed42,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23",,123,0.02,37.025485461757356,73.73011612892151,7
eval_k107_a3_all_seed42_c2c0.0_d2d0.02_seed42.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a3_all_seed42,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23",,42,0.02,35.80664033370925,73.46019911766052,0
eval_k107_a3_all_seed42_c2c0.0_d2d0.02_seed456.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a3_all_seed42,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23",,456,0.02,38.24909492091289,74.63893151283264,6
eval_k107_a3_all_seed42_c2c0.0_d2d0.02_seed789.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a3_all_seed42,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23",,789,0.02,37.18606152602719,73.14569306373596,1
eval_k107_a3_all_seed42_c2c0.0_d2d0.04_seed1001.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a3_all_seed42,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23",,1001,0.04,70.80677295493399,73.76492190361023,7
eval_k107_a3_all_seed42_c2c0.0_d2d0.04_seed123.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a3_all_seed42,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23",,123,0.04,67.68359332579996,74.07350945472717,5
eval_k107_a3_all_seed42_c2c0.0_d2d0.04_seed42.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a3_all_seed42,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23",,42,0.04,62.391809757050865,78.51112532615662,2
eval_k107_a3_all_seed42_c2c0.0_d2d0.04_seed456.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a3_all_seed42,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23",,456,0.04,74.03985932574027,75.46044945716858,3
eval_k107_a3_all_seed42_c2c0.0_d2d0.04_seed789.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a3_all_seed42,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23",,789,0.04,67.4680690371987,74.44412016868591,0
eval_k107_a3_all_seed42_c2c0.0_d2d0.05_seed1001.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a3_all_seed42,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23",,1001,0.05,108.63447463715836,74.93380928039551,5
eval_k107_a3_all_seed42_c2c0.0_d2d0.05_seed123.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a3_all_seed42,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23",,123,0.05,103.84232011218415,74.26928305625916,4
eval_k107_a3_all_seed42_c2c0.0_d2d0.05_seed42.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a3_all_seed42,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23",,42,0.05,91.7829315093575,74.60803484916687,1
eval_k107_a3_all_seed42_c2c0.0_d2d0.05_seed456.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a3_all_seed42,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23",,456,0.05,115.88355835366822,75.57272529602051,6
eval_k107_a3_all_seed42_c2c0.0_d2d0.05_seed789.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a3_all_seed42,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23",,789,0.05,101.30334347975351,77.65686345100403,2
