9.29052	6.8652E-9	6.0888	3.1808E-9	5.99657	7.3313E-9	5.77765	8.1253E-9
9.35293	6.9382E-9	6.11211	3.5194E-9	6.01983	7.2932E-9	5.81028	8.4721E-9
9.41861	7.9544E-9	6.20124	4.3125E-9	6.04812	7.2582E-9	5.83784	8.7842E-9
9.44508	7.5822E-9	6.22718	4.5952E-9	6.07144	7.2338E-9	5.86119	9.0434E-9
9.4684	7.8041E-9	6.25051	4.7879E-9	6.09669	7.2106E-9	5.92405	9.7806E-9
9.49285	8.0443E-9	6.27383	4.9986E-9	6.12026	7.1921E-9	5.94858	9.9134E-9
9.55712	8.7661E-9	6.30123	4.9024E-9	6.21804	7.1312E-9	5.97186	1.01219E-8
9.58412	8.8749E-9	6.32454	4.809E-9	6.24254	7.0151E-9	5.99928	1.03626E-8
9.60743	9.0659E-9	6.35034	4.7383E-9	6.27498	7.1065E-9	6.06437	1.09575E-8
9.66418	9.5091E-9	6.41882	4.727E-9	6.29832	7.0883E-9	6.08769	1.09671E-8
9.68896	9.6955E-9	6.4422	4.5897E-9	6.36508	7.1961E-9	6.11308	1.08646E-8
9.7123	9.8673E-9	6.47376	4.5552E-9	6.39342	7.2466E-9	6.15786	1.07725E-8
9.73557	9.9979E-9	6.53596	4.6215E-9	6.41674	7.3358E-9	6.22157	1.08171E-8
9.76162	9.8587E-9	6.55929	4.4884E-9	6.44008	7.4696E-9	6.24743	1.06579E-8
9.82761	9.7158E-9	6.58431	4.6761E-9	6.46842	7.6991E-9	6.27284	1.06349E-8
9.85143	9.7153E-9	6.61128	4.4607E-9	6.49174	7.9226E-9	6.29616	1.06139E-8
9.92528	9.481E-9	6.66303	4.446E-9	6.51787	8.1904E-9	6.32281	1.05881E-8
9.99679	9.6773E-9	6.69122	4.5014E-9	6.58344	8.9513E-9	6.34862	1.05695E-8
10.02128	9.5792E-9	6.71447	4.5681E-9	6.60678	9.0314E-9	6.37192	1.05511E-8
10.08519	9.1457E-9	6.78202	4.8871E-9	6.69772	9.7756E-9	6.40241	1.0529E-8
10.11327	9.5241E-9	6.84863	5.5917E-9	6.7617	1.02045E-8	6.46828	1.05006E-8
10.20703	9.7095E-9	6.91694	6.4642E-9	6.78623	1.00884E-8	6.53349	1.05359E-8
10.23164	9.8952E-9	6.98885	6.9358E-9	6.81146	1.00368E-8	6.55679	1.08343E-8
10.29588	1.05422E-8	7.01434	7.1865E-9	6.87267	9.8854E-9	6.58148	1.10273E-8
10.31919	1.0667E-8	7.07769	7.7722E-9	6.89865	9.9294E-9	6.66747	1.19789E-8
10.34245	1.08717E-8	7.10099	7.7422E-9	6.96187	9.909E-9	6.69079	1.20966E-8
10.36951	1.1095E-8	7.166	7.5719E-9	6.98639	9.8523E-9	6.71916	1.23466E-8
10.44243	1.16245E-8	7.19296	7.5321E-9	7.00978	9.836E-9	6.78302	1.29686E-8
10.46827	1.18238E-8	7.21991	7.4998E-9	7.07444	9.7585E-9	6.84565	1.34093E-8
10.49182	1.1984E-8	7.24552	7.4725E-9	7.09782	9.7821E-9	6.86896	1.35132E-8
10.55515	1.24712E-8	7.27387	7.4468E-9	7.20319	9.8828E-9	6.89386	1.35655E-8
10.57841	1.22407E-8	7.33703	7.5179E-9	7.22951	9.9668E-9	6.91904	1.35048E-8
10.60408	1.21819E-8	7.36329	7.3832E-9	7.29295	1.02777E-8	6.98274	1.33654E-8
10.70731	1.20072E-8	7.42978	6.828E-9	7.31628	1.0588E-8	7.0073	1.33407E-8
10.73458	1.20229E-8	7.45504	7.3211E-9	7.33955	1.08052E-8	7.03191	1.33145E-8
10.75789	1.20034E-8	7.52295	7.4145E-9	7.4076	1.13201E-8	7.05887	1.32837E-8
10.7888	1.19785E-8	7.58611	7.4883E-9	7.47676	1.18944E-8	7.16206	1.3189E-8
10.81211	1.19603E-8	7.61277	7.8826E-9	7.50045	1.20987E-8	7.1869	1.31664E-8
10.8771	1.20122E-8	7.66512	8.3952E-9	7.5283	1.22953E-8	7.21021	1.30882E-8
10.90428	1.18985E-8	7.6956	8.6952E-9	7.59511	1.25013E-8	7.27643	1.30535E-8
10.9691	1.18832E-8	7.76278	9.2274E-9	7.68463	1.2358E-8	7.29973	1.31397E-8
10.9924	1.19795E-8	7.78894	9.5115E-9	7.71032	1.23317E-8	7.32466	1.32069E-8
11.05628	1.23728E-8	7.8137	9.7063E-9	7.77483	1.21102E-8	7.3521	1.33003E-8
11.08106	1.24471E-8	7.87559	1.02016E-8	7.79815	1.22479E-8	7.41888	1.3706E-8
11.11012	1.26901E-8	7.90042	1.03588E-8	7.86451	1.23618E-8	7.48606	1.44682E-8
11.17217	1.31948E-8	7.92373	1.0354E-8	7.93164	1.20502E-8	7.51173	1.45675E-8
11.23569	1.37871E-8	7.99315	1.02005E-8	7.96012	1.21394E-8	7.53636	1.47629E-8
11.26067	1.38097E-8	8.05883	1.022E-8	8.02771	1.22987E-8	7.56143	1.49501E-8
11.29257	1.4008E-8	8.08486	1.01059E-8	8.05654	1.23765E-8	7.62406	1.54735E-8
11.35558	1.43893E-8	8.17004	1.00376E-8	8.12705	1.27537E-8	7.67164	1.57059E-8
11.38076	1.44134E-8	8.23425	1.01314E-8	8.21467	1.34765E-8	7.73317	1.57009E-8
11.40408	1.43304E-8	8.29777	1.00635E-8	8.23807	1.37407E-8	7.75769	1.57459E-8
11.43342	1.42697E-8	8.32106	9.9936E-9	8.26421	1.39261E-8	7.82922	1.56092E-8
11.45964	1.4231E-8	8.34864	1.0057E-8	8.29324	1.41206E-8	7.89723	1.54926E-8
11.48291	1.42003E-8	8.37367	1.01343E-8	8.31665	1.42728E-8	7.92048	1.55236E-8
11.51259	1.41655E-8	8.40163	1.02589E-8	8.38558	1.49397E-8	7.98729	1.55015E-8
11.53996	1.41375E-8	8.42494	1.04207E-8	8.45479	1.44011E-8	8.05722	1.53766E-8
11.60925	1.39942E-8	8.45326	1.06651E-8	8.52357	1.46052E-8	8.08054	1.53836E-8
11.67464	1.40219E-8	8.51581	1.11907E-8	8.5505	1.44474E-8	8.17348	1.558E-8
11.69795	1.40057E-8	8.54105	1.14446E-8	8.5765	1.44226E-8	8.1968	1.56755E-8
11.72822	1.39826E-8	8.60895	1.19454E-8	8.60146	1.43983E-8	8.27666	1.62841E-8
11.75649	1.3966E-8	8.7138	1.26961E-8	8.63018	1.43731E-8	8.34197	1.68519E-8
11.78339	1.39482E-8	8.782	1.2723E-8	8.65541	1.4354E-8	8.36883	1.69726E-8
11.84493	1.40082E-8	8.84667	1.24064E-8	8.75193	1.38714E-8	8.43126	1.71923E-8
11.8733	1.38945E-8	8.87002	1.25052E-8	8.77766	1.42744E-8	8.4634	1.75687E-8
11.9388	1.40652E-8	8.94122	1.24489E-8	8.80527	1.4325E-8	8.48672	1.7707E-8
11.96218	1.38455E-8	8.96452	1.24183E-8	8.82874	1.43856E-8	8.51001	1.7843E-8
12.02554	1.37031E-8	9.02828	1.23068E-8	8.89296	1.4583E-8	8.5752	1.75686E-8
12.05216	1.37962E-8	9.05158	1.23549E-8	8.92048	1.48698E-8	8.6009	1.77039E-8
12.07975	1.37818E-8	9.07542	1.23382E-8	8.9496	1.50977E-8	8.62841	1.76614E-8
12.10301	1.37702E-8	9.10443	1.2321E-8	9.0186	1.58615E-8	8.67962	1.75943E-8
12.13102	1.37544E-8	9.18384	1.24878E-8	9.05226	1.58291E-8	8.74363	1.76859E-8
12.18066	1.3733E-8	9.25009	1.26728E-8	9.07723	1.59827E-8	8.76945	1.74999E-8
12.20398	1.37213E-8	9.27339	1.29446E-8	9.14143	1.64604E-8	8.83581	1.73989E-8
12.23104	1.37084E-8	9.33916	1.36144E-8	9.23746	1.66344E-8	8.86036	1.74176E-8
